rank,op_name,mean_mse,mean_cos
145,base.transformer.layer.1.output_layer_norm.bias,0.0008255921546375989,0.99946850613958
146,base.transformer.layer.2.sa_layer_norm.bias,0.0008255921546375989,0.99946850613958
147,base.transformer.layer.2.output_layer_norm.bias,0.0008255921546375989,0.99946850613958
148,base.transformer.layer.3.sa_layer_norm.bias,0.0008255921546375989,0.99946850613958
149,base.transformer.layer.3.output_layer_norm.bias,0.0008255921546375989,0.99946850613958
150,base.transformer.layer.4.sa_layer_norm.bias,0.0008255921546375989,0.99946850613958
151,base.transformer.layer.4.output_layer_norm.bias,0.0008255921546375989,0.99946850613958
152,base.transformer.layer.5.sa_layer_norm.bias,0.0008255921546375989,0.99946850613958
153,base.transformer.layer.5.output_layer_norm.bias,0.0008255921546375989,0.99946850613958
154,/base/Constant_2_output_0,0.0008255921546375989,0.99946850613958
155,/base/Constant_3_output_0,0.0008255921546375989,0.99946850613958
156,/base/Where_output_0,0.0008255921546375989,0.99946850613958
157,/base/transformer/layer.0/attention/q_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
158,base.transformer.layer.0.attention.q_lin.bias,0.0008255921546375989,0.99946850613958
159,/base/transformer/layer.0/attention/k_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
160,base.transformer.layer.0.attention.k_lin.bias,0.0008255921546375989,0.99946850613958
161,/base/transformer/layer.0/attention/v_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
162,base.transformer.layer.0.attention.v_lin.bias,0.0008255921546375989,0.99946850613958
163,/base/transformer/layer.0/attention/Mul_output_0,0.0008255921546375989,0.99946850613958
164,/base/transformer/layer.0/attention/Add_output_0,0.0008255921546375989,0.99946850613958
165,/base/transformer/layer.0/attention/out_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
166,base.transformer.layer.0.attention.out_lin.bias,0.0008255921546375989,0.99946850613958
167,/base/transformer/layer.0/ffn/lin1/MatMul_output_0,0.0008255921546375989,0.99946850613958
168,base.transformer.layer.0.ffn.lin1.bias,0.0008255921546375989,0.99946850613958
169,/base/transformer/layer.0/ffn/activation/Constant_output_0,0.0008255921546375989,0.99946850613958
170,/base/transformer/layer.0/ffn/activation/Constant_1_output_0,0.0008255921546375989,0.99946850613958
171,/base/transformer/layer.0/ffn/activation/Constant_2_output_0,0.0008255921546375989,0.99946850613958
172,/base/transformer/layer.0/ffn/lin2/MatMul_output_0,0.0008255921546375989,0.99946850613958
173,base.transformer.layer.0.ffn.lin2.bias,0.0008255921546375989,0.99946850613958
174,/base/transformer/layer.1/attention/q_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
175,base.transformer.layer.1.attention.q_lin.bias,0.0008255921546375989,0.99946850613958
